Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Description,Location
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,"Join our team as a Senior Marketing Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,"Looking for a Junior Accountant with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,"We are hiring a Senior Human Resources Coordinator. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
46.0,Male,Master's,Director of Operations,20.0,170000.0,"Seeking a skilled Director Of Operations who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,"We are hiring a Junior Sales Representative. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,"Seeking a skilled Senior Business Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
44.0,Female,PhD,Senior UX Designer,15.0,145000.0,"Seeking a skilled Senior Ux Designer who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,"We are hiring a Junior Product Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Chennai
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,"Looking for a Senior Marketing Specialist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0,"Looking for a Senior It Project Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,"Seeking a skilled Senior Financial Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,"Join our team as a Senior Quality Assurance Analyst. Must have experience in Python, SQL and strong analytical abilities.",Pune
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,"Seeking a skilled Director Of Sales And Marketing who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,"We are hiring a Junior Operations Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,"Join our team as a Senior Account Executive. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
47.0,Male,Master's,Director of Business Development,19.0,170000.0,"We are hiring a Director Of Business Development. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,"Looking for a Junior Social Media Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Delhi
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,"We are hiring a Senior Product Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,"Looking for a Senior Human Resources Specialist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,"Join our team as a Junior Business Analyst. Must have experience in Python, SQL and strong analytical abilities.",Pune
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,"Seeking a skilled Senior Marketing Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,"Seeking a skilled Senior Data Analyst who has knowledge of Excel, SQL, Data Analysis and can work in a fast-paced environment.",Mumbai
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,"We are hiring a Junior Account Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Bangalore
35.0,Male,Master's,Senior Software Developer,9.0,110000.0,"Looking for a Senior Software Developer with experience in Programming, Debugging, APIs. Candidate should be proficient in problem solving and teamwork.",Bangalore
49.0,Female,Master's,Director of Human Capital,21.0,180000.0,"Join our team as a Director Of Human Capital. Must have experience in Python, SQL and strong analytical abilities.",Chennai
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,"Join our team as a Junior Advertising Coordinator. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,"Looking for a Senior Sales Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
27.0,Female,Master's,Junior UX Designer,1.5,45000.0,"Join our team as a Junior Ux Designer. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0,"Join our team as a Senior Accountant. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,"Join our team as a Senior Marketing Director. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0,"We are hiring a Junior Hr Generalist. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0,"Join our team as a Senior Operations Manager. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
47.0,Male,Master's,Director of Finance,20.0,170000.0,"We are hiring a Director Of Finance. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,"Join our team as a Junior Marketing Coordinator. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,"Seeking a skilled Senior It Consultant who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,"Seeking a skilled Senior Product Designer who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,"We are hiring a Junior Business Development Associate. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,"We are hiring a Senior Marketing Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,"Looking for a Senior Software Engineer with experience in Java, C++, Problem Solving. Candidate should be proficient in problem solving and teamwork.",Hyderabad
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,"Seeking a skilled Senior Financial Advisor who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,"Seeking a skilled Senior Project Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
50.0,Female,PhD,Director of Operations,22.0,180000.0,"We are hiring a Director Of Operations. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0,"Looking for a Junior Business Operations Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0,"Seeking a skilled Senior Sales Representative who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
48.0,Male,Master's,Director of Marketing,19.0,170000.0,"We are hiring a Director Of Marketing. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0,"Join our team as a Junior Social Media Specialist. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0,"We are hiring a Senior Product Development Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0,"Join our team as a Senior Human Resources Manager. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0,"We are hiring a Junior Financial Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Bangalore
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0,"We are hiring a Senior Marketing Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,"Seeking a skilled Senior Data Scientist who has knowledge of Python, Machine Learning, SQL and can work in a fast-paced environment.",Hyderabad
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0,"Seeking a skilled Junior Operations Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
37.0,Male,Master's,Senior Software Architect,9.0,120000.0,"We are hiring a Senior Software Architect. Required skills include Python, SQL. Experience in real-world projects is a plus.",Bangalore
51.0,Female,Master's,Director of Human Resources,21.0,190000.0,"Looking for a Director Of Human Resources with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0,"Looking for a Junior Marketing Specialist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0,"Seeking a skilled Senior Project Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
27.0,Female,Master's,Junior Research Scientist,1.5,50000.0,"Seeking a skilled Junior Research Scientist who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0,"Looking for a Senior Operations Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Delhi
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,"Seeking a skilled Senior Marketing Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0,"Join our team as a Junior Sales Representative. Must have experience in Python, SQL and strong analytical abilities.",Pune
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0,"We are hiring a Senior Financial Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
45.0,Male,Master's,Senior Software Developer,16.0,140000.0,"Looking for a Senior Software Developer with experience in Programming, Debugging, APIs. Candidate should be proficient in problem solving and teamwork.",Bangalore
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0,"Looking for a Junior Operations Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0,"Join our team as a Senior Marketing Specialist. Must have experience in Python, SQL and strong analytical abilities.",Chennai
44.0,Female,PhD,Senior HR Manager,18.0,160000.0,"We are hiring a Senior Hr Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0,"Join our team as a Junior Business Analyst. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0,"We are hiring a Senior Product Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,"We are hiring a Senior Data Analyst. Required skills include Excel, SQL, Data Analysis. Experience in real-world projects is a plus.",Mumbai
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0,"Join our team as a Junior Marketing Analyst. Must have experience in Python, SQL and strong analytical abilities.",Chennai
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0,"Looking for a Senior Operations Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
49.0,Female,Master's,Director of Marketing,21.0,180000.0,"Looking for a Director Of Marketing with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0,"Looking for a Junior Financial Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,"Seeking a skilled Senior Project Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
47.0,Male,Master's,Director of Operations,20.0,170000.0,"Join our team as a Director Of Operations. Must have experience in Python, SQL and strong analytical abilities.",Chennai
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,"Seeking a skilled Junior Marketing Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,"Looking for a Senior It Consultant with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,"Looking for a Senior Product Designer with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Delhi
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,"Join our team as a Junior Business Development Associate. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,"We are hiring a Senior Marketing Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,"Join our team as a Senior Software Engineer. Must have experience in Java, C++, Problem Solving and strong analytical abilities.",Bangalore
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,"Seeking a skilled Senior Financial Advisor who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,"Join our team as a Senior Project Coordinator. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
50.0,Female,PhD,Director of Operations,22.0,180000.0,"We are hiring a Director Of Operations. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0,"Join our team as a Junior Business Operations Analyst. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
,,,,,,"Seeking a skilled Nan who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0,"Join our team as a Senior Financial Manager. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,"Join our team as a Senior Data Scientist. Must have experience in Python, Machine Learning, SQL and strong analytical abilities.",Bangalore
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0,"Seeking a skilled Junior Marketing Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0,"Join our team as a Senior Operations Manager. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0,"Looking for a Junior Sales Representative with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,"Join our team as a Senior Marketing Specialist. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
44.0,Female,Master's,Senior HR Specialist,15.0,140000.0,"Seeking a skilled Senior Hr Specialist who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0,"Join our team as a Junior Operations Manager. Must have experience in Python, SQL and strong analytical abilities.",Delhi
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0,"Looking for a Senior Marketing Coordinator with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,"Join our team as a Senior Data Engineer. Must have experience in Python, SQL and strong analytical abilities.",Pune
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0,"Seeking a skilled Junior Marketing Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0,"Join our team as a Senior Financial Analyst. Must have experience in Python, SQL and strong analytical abilities.",Chennai
47.0,Female,Master's,Director of Marketing,20.0,180000.0,"Seeking a skilled Director Of Marketing who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,"We are hiring a Junior Business Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0,"Looking for a Senior Project Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,"We are hiring a Senior Data Analyst. Required skills include Excel, SQL, Data Analysis. Experience in real-world projects is a plus.",Hyderabad
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0,"We are hiring a Junior Financial Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0,"We are hiring a Senior Product Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
49.0,Female,Master's,Director of Operations,21.0,180000.0,"Seeking a skilled Director Of Operations who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,"We are hiring a Junior Operations Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,"We are hiring a Senior Project Coordinator. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
47.0,Male,Master's,Director of Marketing,19.0,170000.0,"We are hiring a Director Of Marketing. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,"Seeking a skilled Junior Business Development Associate who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,"Looking for a Senior Financial Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Delhi
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,"Looking for a Senior Product Designer with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,"We are hiring a Junior Business Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,"Seeking a skilled Senior Marketing Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,"Join our team as a Senior Software Engineer. Must have experience in Java, C++, Problem Solving and strong analytical abilities.",Chennai
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0,"Seeking a skilled Junior Product Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,"Join our team as a Senior Business Analyst. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
49.0,Male,PhD,Director of Operations,21.0,180000.0,"Looking for a Director Of Operations with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0,"Looking for a Junior Marketing Specialist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0,"Seeking a skilled Senior Business Development Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
45.0,Female,Master's,Senior HR Manager,14.0,140000.0,"Join our team as a Senior Hr Manager. Must have experience in Python, SQL and strong analytical abilities.",Pune
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,"Join our team as a Junior Financial Analyst. Must have experience in Python, SQL and strong analytical abilities.",Pune
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0,"Seeking a skilled Senior Marketing Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,"Join our team as a Senior Data Scientist. Must have experience in Python, Machine Learning, SQL and strong analytical abilities.",Delhi
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0,"We are hiring a Junior Operations Coordinator. Required skills include Python, SQL. Experience in real-world projects is a plus.",Bangalore
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0,"We are hiring a Senior Marketing Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Chennai
48.0,Female,Master's,Director of HR,20.0,180000.0,"Join our team as a Director Of Hr. Must have experience in Python, SQL and strong analytical abilities.",Delhi
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0,"Join our team as a Junior Project Manager. Must have experience in Python, SQL and strong analytical abilities.",Delhi
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0,"Seeking a skilled Senior Operations Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,"Seeking a skilled Senior Data Engineer who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0,"Join our team as a Junior Marketing Manager. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0,"Join our team as a Senior Business Analyst. Must have experience in Python, SQL and strong analytical abilities.",Delhi
49.0,Female,Master's,Director of Marketing,21.0,180000.0,"Join our team as a Director Of Marketing. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,"Seeking a skilled Junior Operations Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0,"We are hiring a Senior Project Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
47.0,Male,Master's,Director of Marketing,19.0,170000.0,"Seeking a skilled Director Of Marketing who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,"Seeking a skilled Junior Business Development Associate who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,"Looking for a Senior Financial Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Delhi
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,"Seeking a skilled Senior Product Designer who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,"We are hiring a Junior Business Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,"Seeking a skilled Senior Marketing Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,"Seeking a skilled Senior Software Engineer who has knowledge of Java, C++, Problem Solving and can work in a fast-paced environment.",Hyderabad
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0,"Looking for a Senior Financial Advisor with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,"We are hiring a Senior Marketing Specialist. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0,"Looking for a Junior Hr Coordinator with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0,"Seeking a skilled Senior Business Development Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0,"We are hiring a Senior Marketing Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0,"Join our team as a Junior Financial Advisor. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0,"Looking for a Senior Project Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
47.0,Male,PhD,Director of Engineering,20.0,180000.0,"Seeking a skilled Director Of Engineering who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0,"Looking for a Junior Marketing Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0,"Join our team as a Senior Operations Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,"Seeking a skilled Senior Data Scientist who has knowledge of Python, Machine Learning, SQL and can work in a fast-paced environment.",Pune
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,"Looking for a Junior Marketing Coordinator with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,"Join our team as a Senior Business Analyst. Must have experience in Python, SQL and strong analytical abilities.",Chennai
48.0,Male,Master's,Director of Marketing,21.0,180000.0,"Join our team as a Director Of Marketing. Must have experience in Python, SQL and strong analytical abilities.",Chennai
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,"Looking for a Junior Business Development Associate with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,"Looking for a Senior Financial Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,"Seeking a skilled Senior Ux Designer who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,"Join our team as a Junior Product Manager. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,"Join our team as a Senior Marketing Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
47.0,Male,Master's,Director of Operations,19.0,170000.0,"Looking for a Director Of Operations with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,"Seeking a skilled Junior Project Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,"Join our team as a Senior Operations Coordinator. Must have experience in Python, SQL and strong analytical abilities.",Delhi
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,"Seeking a skilled Senior Business Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,"Looking for a Junior Marketing Specialist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,"We are hiring a Senior Financial Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
43.0,Male,Master's,Director of Marketing,18.0,170000.0,"Join our team as a Director Of Marketing. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,"Looking for a Junior Financial Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,"We are hiring a Senior Product Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,"Looking for a Senior Data Engineer with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
